2024-09-10 오후 7:11:52,26.00,53.56
2024-09-10 오후 7:11:54,26.00,53.56
2024-09-10 오후 7:11:56,26.00,53.56
2024-09-10 오후 7:11:58,26.00,53.56
2024-09-10 오후 7:12:00,26.00,53.56
2024-09-10 오후 7:12:02,26.00,53.56
2024-09-10 오후 7:12:04,26.00,53.56
2024-09-10 오후 7:12:06,26.00,53.56
2024-09-10 오후 7:12:08,26.00,53.56
2024-09-10 오후 7:12:10,26.00,53.56
2024-09-10 오후 7:12:12,26.00,53.56
2024-09-10 오후 7:12:14,26.00,53.56
2024-09-10 오후 7:12:16,26.00,53.56
2024-09-10 오후 7:12:18,26.00,53.56
2024-09-10 오후 7:12:20,26.00,53.56
2024-09-10 오후 7:12:23,26.00,53.56
2024-09-10 오후 7:12:25,26.00,53.56
2024-09-10 오후 7:12:27,26.00,53.56
2024-09-10 오후 7:12:29,26.00,53.56
2024-09-10 오후 7:12:31,26.00,53.56
2024-09-10 오후 7:12:33,26.00,53.56
2024-09-10 오후 7:12:35,26.00,53.56
2024-09-10 오후 7:12:37,26.00,57.00
2024-09-10 오후 7:12:39,26.00,65.00
2024-09-10 오후 7:12:41,26.00,70.00
2024-09-10 오후 7:12:43,26.00,73.00
2024-09-10 오후 7:12:45,26.00,75.00
2024-09-10 오후 7:12:47,26.00,75.00
2024-09-10 오후 7:12:49,26.00,73.56
2024-09-10 오후 7:12:51,26.00,67.00
2024-09-10 오후 7:12:53,25.60,0.00
2024-09-10 오후 7:12:53,102.64,399.36
2024-09-10 오후 7:12:55,26.00,61.00
2024-09-10 오후 7:12:58,26.00,59.00
2024-09-10 오후 7:13:00,26.00,57.00
2024-09-10 오후 7:13:02,26.00,55.00
2024-09-10 오후 7:13:04,26.00,55.00
2024-09-10 오후 7:13:06,26.00,54.00
2024-09-10 오후 7:13:08,27.00,55.56
2024-09-10 오후 7:13:10,27.00,53.00
2024-09-10 오후 7:13:12,27.00,53.00
2024-09-10 오후 7:13:14,27.00,52.00
2024-09-10 오후 7:13:16,27.00,52.00
2024-09-10 오후 7:13:18,27.00,52.00
2024-09-10 오후 7:13:20,27.00,52.00
2024-09-10 오후 7:13:22,27.00,52.00
2024-09-10 오후 7:13:24,27.00,52.00
2024-09-10 오후 7:13:26,27.00,53.56
2024-09-10 오후 7:13:28,27.00,53.56
2024-09-10 오후 7:13:30,27.00,53.56
2024-09-10 오후 7:13:33,27.00,53.56
2024-09-10 오후 7:13:35,27.00,53.56
2024-09-10 오후 7:13:37,27.00,53.56
2024-09-10 오후 7:13:39,27.00,53.56
2024-09-10 오후 7:13:41,27.00,53.56
2024-09-10 오후 7:13:43,27.00,53.56
2024-09-10 오후 7:13:45,27.00,53.56
2024-09-10 오후 7:13:47,27.00,53.56
2024-09-10 오후 7:13:49,27.00,53.56
2024-09-10 오후 7:13:51,27.00,53.56
2024-09-10 오후 7:13:53,27.00,53.56
2024-09-10 오후 7:13:55,27.00,51.00
2024-09-10 오후 7:13:57,27.00,51.00
2024-09-10 오후 7:13:59,27.00,51.00
2024-09-10 오후 7:14:01,27.00,51.00
2024-09-10 오후 7:14:03,27.00,51.00
2024-09-10 오후 7:14:05,27.00,51.00
2024-09-10 오후 7:14:08,27.00,51.00
2024-09-10 오후 7:14:10,27.00,51.00
